date,equity,equity_mtm,risk_committed,risk_scale,open_positions
2025-10-21,98983.96949823998,98983.96949823998,0,2.0,0
2025-10-22,98983.96949823998,98790.11992711198,5447.04,2.0,2
2025-10-23,99140.61960651998,99270.01549799198,3710.64,2.0,1
2025-10-24,99390.07102071197,99390.07102071197,0,2.0,0
2025-10-27,99390.07102071197,99390.07102071197,0,2.0,0
2025-10-28,99390.07102071197,99390.07102071197,0,2.0,0
2025-10-29,99390.07102071197,99390.07102071197,0,2.0,0
2025-10-30,99390.07102071197,99390.07102071197,0,2.0,0
2025-10-31,99390.07102071197,99390.07102071197,0,2.0,0
2025-11-03,99390.07102071197,99390.07102071197,0,2.0,0
2025-11-04,99390.07102071197,99291.54216616797,3704.7200000000003,2.0,1
2025-11-05,99390.07102071197,99495.38216616797,3704.7200000000003,2.0,1
2025-11-06,99390.07102071197,99332.58216616797,3704.7200000000003,2.0,1
2025-11-07,99537.35725743197,99537.35725743197,0,2.0,0
2025-11-10,99537.35725743197,99537.35725743197,0,2.0,0
2025-11-11,99537.35725743197,99537.35725743197,0,2.0,0
2025-11-12,99537.35725743197,99537.35725743197,0,2.0,0
2025-11-13,99537.35725743197,99276.90670583196,9187.8,2.0,3
2025-11-14,99537.35725743197,99789.58670583197,9187.8,2.0,3
2025-11-17,100344.70670583197,100057.86785539996,7382.32,2.0,2
2025-11-18,99463.02016011997,99463.02016011997,0,2.0,0
2025-11-19,99463.02016011997,99335.20397082396,3663.36,2.0,1
2025-11-20,99005.86066250397,99005.86066250397,0,2.0,0
2025-11-21,99005.86066250397,98907.33137650396,3672.7200000000003,2.0,1
2025-11-24,99329.06819359197,99329.06819359197,0,2.0,0
2025-11-25,99329.06819359197,99329.06819359197,0,2.0,0
2025-11-26,99329.06819359197,99329.06819359197,0,2.0,0
2025-11-28,99329.06819359197,99329.06819359197,0,2.0,0
2025-12-01,99329.06819359197,99329.06819359197,0,2.0,0
2025-12-02,99329.06819359197,99329.06819359197,0,2.0,0
2025-12-03,99329.06819359197,99329.06819359197,0,2.0,0
2025-12-04,99329.06819359197,99329.06819359197,0,2.0,0
2025-12-05,99329.06819359197,99329.06819359197,0,2.0,0
2025-12-08,99329.06819359197,99329.06819359197,0,2.0,0
2025-12-09,99329.06819359197,99329.06819359197,0,2.0,0
2025-12-10,99329.06819359197,99329.06819359197,0,2.0,0
2025-12-11,99329.06819359197,99329.06819359197,0,2.0,0
2025-12-12,99329.06819359197,99199.22536973597,7359.84,2.0,2
2025-12-15,99489.24392234397,99519.39505810397,7315.6,2.0,2
2025-12-16,99829.36089245597,99551.06597813597,10939.92,2.0,3
2025-12-17,98807.96933799198,98759.37191703198,3695.7599999999998,2.0,1
2025-12-18,98807.96933799198,98719.58093936597,10563.88,2.0,3
2025-12-19,99676.17447725598,99676.17447725598,0,2.0,0
2025-12-22,99676.17447725598,99676.17447725598,0,2.0,0
2025-12-23,99676.17447725598,99617.01468328797,3701.0399999999995,2.0,1
2025-12-24,99676.17447725598,99732.29468328798,3701.0399999999995,2.0,1
2025-12-26,99930.35171610398,99871.19127495198,3653.04,2.0,1
2025-12-29,96963.36340125598,96963.36340125598,0,2.0,0
2025-12-30,96963.36340125598,96778.26337701597,1851.2,2.0,1
2025-12-31,96700.37306053597,96643.13369802397,3700.08,2.0,1
2026-01-02,96700.37306053597,96789.37369802398,3700.08,2.0,1
2026-01-05,96999.21369802397,96867.93022698397,7336.5599999999995,2.0,2
2026-01-06,97404.03868368798,97321.83349651998,3696.5600000000004,2.0,1
2026-01-07,97404.03868368798,97309.07499691998,7386.4800000000005,2.0,2
